condition,objectSide,handUsed,blockNumber,density,width(cm),completionTime(ms),errorCount
actualWalkTwo,,,379,0,0,0,0

actualWalkTwo,,,380,0,0,0,0

actualWalkTwo,,,381,0,0,0,0

actualWalkTwo,,,382,0,0,0,0

actualWalkTwo,,,383,0,0,0,0

actualWalkTwo,,,384,0,0,0,0

actualWalkTwo,,,385,0,0,0,0

actualWalkTwo,,,386,0,0,0,0

actualWalkTwo,,,387,0,0,0,0

actualWalkTwo,,,388,0,0,0,0

actualWalkTwo,,,389,0,0,0,0

actualWalkTwo,,,390,0,0,0,0

actualWalkTwo,,,391,0,0,0,0

actualWalkTwo,,,392,0,0,0,0

actualWalkTwo,,,393,0,0,0,0

actualWalkTwo,,,394,0,0,0,0

actualWalkTwo,,,395,0,0,0,0

actualWalkTwo,,,396,0,0,0,0

actualWalkTwo,,,397,0,0,0,0

actualWalkTwo,,,398,0,0,0,0

actualWalkTwo,,,399,0,0,0,0

actualWalkTwo,,,400,0,0,0,0

actualWalkTwo,,,401,0,0,0,0

actualWalkTwo,,,402,0,0,0,0

actualWalkTwo,,,403,0,0,0,0

actualWalkTwo,,,404,0,0,0,0

actualWalkTwo,,,405,0,0,0,0

actualWalkTwo,,,406,0,0,0,0

actualWalkTwo,,,407,0,0,0,0

actualWalkTwo,,,408,0,0,0,0

actualWalkTwo,,,409,0,0,0,0

actualWalkTwo,,,410,0,0,0,0

actualWalkTwo,,,411,0,0,0,0

actualWalkTwo,,,412,0,0,0,0

actualWalkTwo,,,413,0,0,0,0

actualWalkTwo,,,414,0,0,0,0

actualWalkTwo,,,415,0,0,0,0

actualWalkTwo,,,416,0,0,0,0

actualWalkTwo,,,417,0,0,0,0

actualWalkTwo,,,418,0,0,0,0

actualWalkTwo,,,419,0,0,0,0

actualWalkTwo,,,420,0,0,0,0

actualWalkTwo,,,421,0,0,0,0

actualWalkTwo,,,422,0,0,0,0

actualWalkTwo,,,423,0,0,0,0

actualWalkTwo,,,424,0,0,0,0

actualWalkTwo,,,425,0,0,0,0

actualWalkTwo,,,426,0,0,0,0

actualWalkTwo,,,427,0,0,0,0

actualWalkTwo,,,428,0,0,0,0

actualWalkTwo,,,429,0,0,0,0

actualWalkTwo,,,430,0,0,0,0

actualWalkTwo,,,431,0,0,0,0

actualWalkTwo,,,432,0,0,0,0

actualWalkTwo,,,433,0,0,0,0

actualWalkTwo,,,434,0,0,0,0

actualWalkTwo,,,435,0,0,0,0

actualWalkTwo,,,436,0,0,0,0

actualWalkTwo,,,437,0,0,0,0

actualWalkTwo,,,438,0,0,0,0

actualWalkTwo,,,439,0,0,0,0

actualWalkTwo,,,440,0,0,0,0

actualWalkTwo,,,441,0,0,0,0

actualWalkTwo,,,442,0,0,0,0

actualWalkTwo,,,443,0,0,0,0

actualWalkTwo,,,444,0,0,0,0

actualWalkTwo,,,445,0,0,0,0

actualWalkTwo,,,446,0,0,0,0

actualWalkTwo,,,447,0,0,0,0

actualWalkTwo,,,448,0,0,0,0

actualWalkTwo,,,449,0,0,0,0

actualWalkTwo,,,450,0,0,0,0

actualWalkTwo,,,451,0,0,0,0

actualWalkTwo,,,452,0,0,0,0

actualWalkTwo,,,453,0,0,0,0

actualWalkTwo,,,454,0,0,0,0

actualWalkTwo,,,455,0,0,0,0

actualWalkTwo,,,456,0,0,0,0

actualWalkTwo,,,457,0,0,0,0

actualWalkTwo,,,458,0,0,0,0

actualWalkTwo,,,459,0,0,0,0

actualWalkTwo,,,460,0,0,0,0

actualWalkTwo,,,461,0,0,0,0

actualWalkTwo,,,462,0,0,0,0

actualWalkTwo,,,463,0,0,0,0

actualWalkTwo,,,464,0,0,0,0

actualWalkTwo,,,465,0,0,0,0

actualWalkTwo,,,466,0,0,0,0

